mi_attempt_id	colony_name
16534	H-GEMIN5-DEL558-EM1-B6N
16714	jr30907
16528	TCPR0786_ADKX
16525	TCPR0783_ADKW
16628	TCPR0802_ADLB
16802	jr30995
16803	jr31025
16670	jr31033
16800	jr31037
16792	jr31045
17049	jr31107
17140	jr31114
17139	jr31115
17109	jr31116
16637	H-PODXL-DEL765-EM2-B6N
16621	jr30906
16845	CR1574
16529	TCPR0787_ADKY
16627	TCPR0801_ADLC
16642	H-ARHGEF9-DEL31-EM1-B6N
16804	jr30996
16629	TCPR0803_ADMA
16731	TCPR0832_ADME
16789	jr31035
16675	jr31038
16954	jr31039
17108	jr31108
16763	jr31113
16644	H-BSCL2-DEL2225-EM2-B6N
16527	TCPR0785_ADLA
17458	CR1448
16955	jr31016
16810	jr31017
16720	jr31021
16790	jr31022
16623	jr31026
16976	jr31031
16712	jr31044
16788	jr31042
16520	TCPR0809_ADMI
16728	TCPR0881_ADNJ
17052	jr31117
17048	jr31118
16676	jr30913
16679	jr30915
16569	CR1496
16577	CR1505
16588	CR1518
16589	CR1520
16686	CR1530
16692	CR1537
16850	CR1579
16852	CR1581
16859	CR1588
16862	CR1591
14935	jr28870
13609	DABD 
16524	TCPR0782_ADKU
16741	TCPR0837_ADNO
16979	jr31072
16753	TCPR0846_ADOL
16884	CR1612
16895	CR1625
16900	CR1630
16905	CR1636
16906	CR1637
17081	CR1650
17083	CR1652
17085	CR1654
17091	CR1660
17092	CR1661
17093	CR1662
17095	CR1664
17097	CR1666
16727	TCPR0880_ADNK
16757	TCPR0848_ADOK
16657	H-SNCA-DEL653-EM1-B6N
16882	CR1610
16717	jr30914
16764	jr30920
16718	jr30919
16673	jr30918
16451	CR1478
16568	CR1495
16578	CR1506
16580	CR1509
16585	CR1515
16586	CR1516
16689	CR1533
16694	CR1539
16697	CR1544
16833	CR1567
16840	CR1568
16844	CR1573
16851	CR1580
16854	CR1583
17408	CR1587
16865	CR1594
14943	jr28876
12578	DAAA
13849	DABB
13850	DABA
16787	jr30939
16441	CR1465
16695	CR1540
16837	CR1564
16871	CR1600
16886	CR1615
16887	CR1616
16896	CR1626
17409	CR1635
17076	CR1641
17078	CR1643
17087	CR1656
17414	CR1678
16748	TCPR0904_ADNN
16805	jr31068
16912	jr31069
16974	jr31071
16801	jr31076
16978	jr31125
17311	jr31295
16765	jr30917
16791	jr30916
17389	CR1492
16579	CR1508
16593	CR1526
16832	CR1560
16846	CR1575
16847	CR1576
16849	CR1578
16856	CR1585
16860	CR1589
16863	CR1592
14503	jr28540
16597	STGBB
13826	DACB
16767	jr30940
16644	H-BSCL2-DEL2222-EM1-B6N
16897	CR1627
16899	CR1629
17073	CR1639
17082	CR1651
17084	CR1653
17090	CR1659
17103	CR1673
17413	CR1677
16742	TCPR0838_ADNE
16747	TCPR903_ADNM
16957	jr31070
17053	jr31120
16980	jr31296
16657	H-SNCA-DEL882-EM2-B6N
16743	TCPR0901_ADNS
16814	TMTBB
16696	CR1543
16891	CR1621
17144	jr31127
16885	CR1613
16740	TCPR0898_ADNT
16751	TCPR0844_ADNV
15583	AGTAB
16189	ZCHAB
16903	CR1633
17169	jr31128
17305	jr31309
17252	jr31310
17058	GNGAB
17358	jr31316
17209	jr31317
17143	jr31318
16829	WDHAB
16822	IDHAB
17310	jr31320
16819	FRDAB
17245	MRMAB
17249	CDLAB
16778	TCPR0860_ADOR
16758	TCPR0849_ADOU
16771	TCPR0918_ADOV
17184	TCPR0921_ADPA
17887	CR1758
17892	CR1749
17893	CR1745
17637	CR1783
16637	H-PODXL-DEL637INS1-EM1-B6N 
16649	H-ERMN-DEL13-EM2-B6N
17156	H-GABRA2-DEL911-EM1-B6N
16750	TCPR0843_ADNU
15905	ZPTAB
16598	DCFBB
17167	jr31130
17247	jr31308
17356	jr31311
17357	jr31313
16828	CLTAB
16823	KDRAB
17069	FFSAB
17242	GETAB
15577	BAPAB
17063	IFTBB
17181	TCPR0906_ADOO
16776	TCPR0858_ADOP
17183	TCPR0950_ADOY
17884	CR1760
17639	CR1781
17421	PFIAB
15314	jr29523
12272	jr25812
17881	CR1767
17882	CR1765
17165	H-CLDN3-DEL10-EM1-B6N
17355	jr31312
16826	CPGAB
16813	MDHNB
17057	APBAB
15753	AOCAB
17304	jr31319
17256	SCTAB
17068	APTAB
17070	TTCAB
16824	ERLAB
17067	UBPAB
17641	CR1778
17851	CR1776
15960	UCRBB
16779	TCPR0861_ADOT
16772	TCPR0854_ADOW
16650	H-ERMN-INS1-EM1-B6N
16749	TCPR0902_ADPC
17089	CR1658
17883	CR1764
17638	CR1782
15556	jr29689
17141	jr31377
17182	TCPR0908_ADPM
17194	TCPR0926_ADPO
13524	EKGGB
16530	H-DTX1-DEL1303INS6-EM1-B6N
16853	CR1582
17166	jr31215
